ID_REF	GSM177105	GSM177106	GSM177107	GSM177108	GSM177109	GSM177110	GSM177111	GSM177112	GSM177113	GSM177114	GSM177118	GSM177115	GSM177116	GSM177117
argS	388.2924916	93.44204868	872.4931534	894.5386454	1338.12762	1748.618679	1934.84194	2213.325623	1800.273021	3050.859444	2372.183667	2410.304998	2076.589015	2238.00881
aroA	72.95828945	358.791027	2817.109644	1782.887554	759.5494061	1243.335562	1219.437414	2354.165449	933.1725114	1971.393419	2864.365737	2549.502434	2188.91467	1892.398228
aroB	102.3948964	87.42657643	775.5091537	935.763405	916.5056726	1105.129714	1571.580002	948.8261754	545.3354001	1868.934121	2222.549754	2196.514031	2273.973931	2400.301637
aroC	181.019336	98.29185726	838.1124419	632.9729336	964.7424245	898.8895208	946.1991142	1297.932823	1519.098812	1743.777193	1442.144488	1574.851411	1322.452327	1513.84313
aroD	116.0819621	200.0199373	3522.78326	2723.035358	4147.424491	2648.573813	2633.927646	1320.620289	623.3938016	1897.652351	2745.779388	3558.36799	2868.339345	2880.293273
aroE	67.74300127	50.66789542	157.2046411	166.5717575	221.4749928	499.035971	665.364	807.3217782	455.4030047	431.7343284	597.5849481	576.4293561	980.9256635	922.8804737
aroF	62.16367971	90.13403052	632.9729336	819.1591714	823.1434145	1295.236651	1468.370174	1008.503238	576.829045	1323.369299	1957.77601	2052.263127	2349.275186	2178.319714
aroH	71.30839365	83.69096631	941.6192473	1038.294507	867.0671999	1653.147801	1498.18493	916.5056726	704.2774109	1725.740707	1693.743859	1738.949113	2452.436387	2588.678346
aroK	67.3683939	73.87426672	307.4056774	232.8085125	171.254727	255.6453545	117.0515315	405.9054779	302.3341213	231.6816545	144.6076435	119.5110329	153.5963369	181.3961468
arsB	129.6070153	544.5799285	1436.159233	565.3498097	398.9322648	445.7218884	284.6410643	347.5315148	163.1437603	205.3583786	284.4438345	358.2939816	344.1753585	383.2122846
arsC	77.17170097	451.630779	1546.723928	553.7150789	424.9060278	450.3803269	308.9008434	341.3244613	216.0168438	268.9138033	259.9337218	252.8258205	281.3066797	330.1550722
arsR	53.48268537	599.6596128	729.1137001	130.8708519	102.6080422	127.2039799	79.01200684	183.8008974	115.5200931	167.6141342	174.7319959	288.6145055	229.4442751	261.1979928
asd	129.1586091	444.7959988	5157.656581	3706.906472	4243.3854	3666.022691	4144.550711	4272.900479	4688.790162	4362.683201	3666.022691	3795.304702	3899.301513	3956.475203
ask	101.2655746	306.129868	3536.238832	2310.517018	3198.101474	1859.887959	1023.290463	2799.590302	1172.19754	1353.050527	1167.332631	1098.257016	1561.806493	1238.175412
asnB	82.42442429	149.9149032	1330.266885	1785.360875	1921.47701	3027.686259	3057.210129	1689.054308	1173.823678	693.6191885	1738.949113	1541.372669	1698.44643	1525.429722
asnH	62.8569341	35.28541322	101.0902466	57.20225039	98.49646209	170.5439776	89.26359465	167.1500527	155.3092557	152.8528879	94.81214707	112.7512799	123.3830154	150.7485171
asnO	39.15161732	23.71947216	74.28505052	30.2738447	42.6359944	77.92422519	41.78751319	149.2927193	49.14592863	91.70954562	54.41754624	56.29754086	61.43547271	61.22292212
asnS	137.9498426	761.130488	7434.39692	5077.842739	3910.127674	4864.244392	5472.559425	6530.600768	4563.737194	2164.772947	2698.608541	2967.433533	3017.211261	2986.003208
aspB	109.6680902	154.1295848	920.3252496	1006.408293	1525.429722	3169.413107	4624.238202	5116.707331	4966.452507	6325.65869	5732.703705	5902.048251	6067.977413	6463.05252
aspS	66.90304641	77.33234198	1443.144453	1304.245735	1862.4681	2751.495016	3102.036615	1560.724306	828.2945007	1473.467986	1946.949839	2687.408649	2166.273973	3178.212779
atpA	108.3083004	78.62956675	3897.950352	5046.264109	5282.481155	7276.353912	7424.097798	4240.445128	6005.214237	5081.363651	8056.84899	6553.273371	6965.445919	5518.268731
atpB	132.6977409	111.9724499	2383.721542	4234.570696	4353.620682	10719.87156	11346.81676	7951.437576	8062.435509	8701.208056	12625.03704	11213.8962	10462.93512	9488.734668
atpC	102.8216316	71.01244621	2151.310426	3620.567167	2740.075632	6409.517316	5177.356691	3269.830191	3840.291211	3193.671035	3995.05597	3717.19846	5442.297095	4790.631072
atpD	129.4274663	66.53308385	3465.865612	5371.09305	5756.594996	7755.478067	7585.349817	2479.786156	4266.981085	5260.557554	6941.347307	6118.65992	5853.159996	4757.539766
atpE	162.6920562	114.4045008	3585.602886	4460.531775	7744.73414	9515.079532	12845.7188	7522.518322	9338.66105	12872.45851	12845.7188	14512.41503	10653.20568	9397.100742
atpF	82.02546715	0.00099985	1918.150228	3660.944025	5583.677879	6374.073766	4918.490839	6178.324794	5828.867937	9001.81375	8340.973156	5897.958681	7211.081839	5245.992392
atpG	169.4833805	98.5647583	6112.301529	8340.973156	9423.19119	13710.56116	13998.64919	6626.356006	7424.097798	7760.855618	13289.50732	14076.48981	11245.03086	9864.293427
atpH	123.1267142	113.5355271	5605.005215	7276.353912	7296.556242	13225.1824	13252.71201	7990.111941	9905.403296	9667.988221	14292.79057	12756.98694	11730.68793	10535.71058
atpI	113.9296939	161.2326374	2998.447505	4150.300263	3896.59966	5537.426772	5579.80891	3254.003303	2281.868597	2245.778613	3269.830191	3418.150016	2830.811559	2467.783301
azlB	61.0957449	96.87147475	1145.689191	610.9879004	454.4570047	447.5794537	261.9231923	276.0909905	528.2217878	462.0803725	466.2629548	417.8959596	334.7638652	302.1246319
azlC	93.11876375	86.94312221	936.4122516	650.7682249	346.5692874	513.4215352	271.9127517	321.7954239	371.9590527	222.8609442	337.5599653	265.0278205	254.2316788	243.3687299
azlD	130.7801706	110.584088	789.064815	574.037032	338.4971789	492.8483549	302.543756	482.7056824	653.4803296	474.7420398	504.6012605	411.2865263	478.3756016	602.1587201
bcd	81.23333671	62.16367971	590.5846298	385.0761604	434.4360457	625.9918222	626.4258771	929.299615	810.1245964	644.4836728	753.7801534	853.3536841	1214.376447	1703.162057
bcsA	48.53656145	40.78594007	285.2335746	92.66804303	105.7123411	135.1108759	142.0248924	263.9278896	273.0459599	398.6558418	219.6404558	172.4458978	114.0877435	93.31260024
bdbA	43.41133848	34.36814309	140.0695938	103.6086037	164.0509343	186.3666623	108.9860746	152.5353695	151.4817308	143.1119169	144.5074438	111.2761037	96.80435183	141.0438548
bdbB	50.91433496	60.25462173	372.6041674	253.1765546	241.6876593	250.9054503	140.1667163	170.6622307	175.7036072	245.2314159	157.4772921	135.3921233	117.4579049	144.7079126
bdbC	85.44949141	203.7985533	2530.137369	2476.350824	2045.162836	2270.823718	2288.204059	1362.461738	1258.073068	1210.175024	1562.88943	1985.105545	1867.639123	1611.289488
bdbD	92.47554547	267.4267553	4822.280981	2784.109039	2549.502434	2563.679147	2632.102579	1633.782251	2495.30422	2385.374385	2289.790671	2948.97934	2157.283402	2415.322301
bglA	291.6309446	59.71411146	222.7837199	107.4856311	192.4046692	310.4032817	298.5854387	655.749049	431.7343284	554.099018	414.7217785	385.0761604	430.8374949	869.4745564
bglC	106.4476286	60.5896724	297.7587306	285.2335746	271.3479125	322.4652749	253.352104	560.278375	436.8517622	378.4607824	225.3463075	185.0793337	217.8211148	282.6749049
bglH	197.5398624	91.58249728	121.3474515	94.54963607	178.1563382	215.4187475	99.94067105	350.4342562	119.3454703	115.6001933	155.0941005	191.4733771	337.5599653	523.4834077
bglP	216.6166007	117.2139119	196.9929242	141.0438548	186.6252005	242.1907576	128.4443838	406.7504128	175.460199	246.4241774	221.014927	183.8008974	318.9087784	448.8221293
bglS	72.30382173	51.44646341	57.96057491	40.22442798	67.60228002	123.7255804	40.95591724	167.0342333	80.5046382	75.26984002	59.21948339	50.84380161	111.4304721	134.4569016
bhlA	41.49886575	27.51220756	89.5734954	44.60087164	49.90110993	75.37425853	21.67559964	53.48268537	54.91011395	39.36932303	38.93511548	52.41834866	35.55547932	44.1395495
bhlB	58.93284462	41.61408469	133.0661677	76.95803193	102.6080422	144.9086595	80.67221706	128.8010014	98.08767745	102.3239463	61.22292212	75.06143675	80.44885597	106.4476286
bioA	64.4451552	44.97339841	128.9796813	50.94963832	92.92532991	119.0975562	56.88593159	245.4014563	82.02546715	93.63655813	62.24991663	57.96057491	86.58228679	103.5368126
bioB	57.96057491	40.64483144	120.1755837	63.3819438	122.2762159	115.7605603	76.90470717	168.7799827	160.0079747	131.2342064	75.53115797	72.40412562	97.0731229	114.1668505
bioF	76.26768477	53.11325348	337.3260676	262.8325237	304.6481143	490.4628317	533.3726357	351.4072144	328.3293703	258.1382285	572.0510147	543.0721236	518.0688389	411.8570859
bioI	69.98626928	38.74665869	81.68504121	44.81780227	74.38810288	156.064652	61.30785397	216.1666272	78.24897777	59.21948339	55.25373175	58.81042454	105.1277697	108.4585517
bioW	148.6731177	204.5060906	3813.764382	2032.444159	806.7623793	1293.442316	1357.747979	1086.144247	984.3311907	1163.293967	954.7637621	855.1300295	792.3532767	725.584587
birA	51.26847217	47.37322554	362.5409122	319.5726205	372.2169644	909.5442389	1229.62271	1456.207268	2208.727924	1698.44643	1273.867933	1077.147422	1270.340913	1565.057557
bkdAA	284.4438345	459.8437749	6919.72985	3856.295791	2766.794925	2959.217455	4036.810084	5278.820886	5914.333985	3899.301513	3480.309756	4101.682199	4887.903203	4067.706861
bkdAB	127.8226773	107.8587942	1268.141486	870.0774391	927.3691986	1272.103201	1652.002323	1605.71485	1845.760947	1326.124031	1479.608727	1724.544929	2155.788605	2481.505609
bkdB	118.767805	43.11147446	389.9107174	375.3258898	372.9917732	644.4836728	860.4812823	601.3245293	873.7035245	639.5884163	705.2544237	986.3801795	1211.853846	1549.943596
bkdR	35.678919	52.96619623	355.8190643	189.4929021	185.3360861	301.2881247	344.6528177	531.1590075	274.5642539	235.4048118	254.0555199	334.531905	377.4129196	456.9840494
blt	157.368175	99.31914935	232.8085125	134.9237022	222.8609442	227.5437264	98.7699312	241.1856061	96.73727541	88.64700596	85.62736351	98.49646209	110.6607656	128.8903104
bltD	71.80438275	53.48268537	191.407029	92.0279381	163.3700824	192.9388684	71.01244621	223.6346614	89.5734954	108.9105574	94.68080059	82.48157635	102.7503858	99.388016
bltR	53.07645093	46.04587456	144.007486	71.25898357	135.6739563	193.340491	119.1801369	304.6481143	188.7064598	212.6003262	145.8154723	162.016844	173.4047971	227.5437264
blyA	75.4265221	74.80174391	123.5541792	87.12410346	148.7762058	201.8304446	97.54526914	196.3113804	120.5092435	112.8294602	87.18451422	80.5604591	107.9335821	126.0629047
bmr	93.83147246	89.69775674	541.9440102	323.360579	419.3467893	350.4342562	229.9218875	355.3261361	596.7570934	380.565244	221.9360163	213.1905973	205.2160843	186.1084822
bmrR	76.79816847	49.45347518	357.1781456	286.0255073	385.0761604	302.9634616	187.1433534	398.1035704	276.0909905	232.3249038	155.9565138	124.4998333	154.9866347	190.282622
bmrU	98.97553119	61.99156411	112.0889305	97.00586026	275.1357883	274.7546333	182.6578567	529.321337	1089.915067	434.1350219	174.1274691	129.6070153	246.0827977	227.5437264
bofA	78.90254883	127.4687684	529.1379199	450.3803269	548.3677815	414.7217785	268.1692485	462.7213961	368.3669965	631.6580709	381.621859	335.6933156	364.5568501	329.4692473
bofC	72.40412562	48.84029469	168.1960483	190.6787153	256.3551375	430.2406411	445.4130446	972.1263319	1731.732045	690.2618786	371.4437652	298.1717981	365.5690188	389.6405455
bpr	82.2532056	45.72781247	55.3687482	40.2523191	66.48698261	107.0395392	44.91109523	221.3215312	115.4400484	85.39028286	64.71373317	54.94818793	80.67221706	75.26984002
braB	90.94989076	185.3360861	1066.745271	1330.728	1337.200422	1276.519623	859.2892284	485.7263694	1220.282956	407.3146797	648.5167379	634.7303424	886.5142431	822.003086
brnQ	771.7554737	627.7298483	1230.475315	750.6517797	936.4122516	756.9215648	625.1246145	333.6056702	694.1001353	662.6025751	493.1900897	1238.175412	406.7504128	456.6674019
bsaA	19.10661099	22.05448245	153.1710673	143.1119169	231.8422997	228.4920247	112.7512799	507.7589661	182.9112499	721.5722266	331.5310077	208.2250747	244.5524317	276.0909905
buk	77.60082042	91.9641713	1947.624718	1168.95202	886.5142431	969.4347584	1245.923695	1206.824354	1355.867044	1123.667904	942.2721542	1116.679918	1301.53645	1407.578824
